;index;z;y;x;n_rna;coloc
0;1;102;394;8;5;False
1;2;132;240;8;10;False
2;3;195;179;17;39;True
3;4;191;124;41;6;False
4;5;190;400;20;30;False
5;6;206;90;40;23;True
6;7;215;310;11;8;False
7;8;227;333;18;13;False
8;9;238;228;26;8;False
9;10;248;366;9;13;False
10;11;250;344;58;7;False
11;12;271;192;13;14;True
12;13;270;421;14;9;False
13;14;259;174;12;44;True
14;15;279;146;10;9;False
15;16;290;212;25;7;False
16;17;324;266;19;7;False
17;18;331;219;29;8;False
18;19;202;157;13;96;True
19;20;209;144;19;17;False
20;21;267;152;17;5;False
21;22;188;159;12;6;False
22;23;230;173;12;42;True
23;24;249;196;10;6;False
24;25;246;204;7;5;False
25;26;216;215;15;42;True
26;27;225;211;8;5;True
27;28;155;222;8;6;False
28;29;231;218;13;31;True
29;30;158;235;8;12;False
30;31;242;242;6;5;False
31;32;231;246;19;22;True
32;33;68;257;7;5;False
33;34;108;260;8;7;False
34;35;244;276;11;5;False
35;36;201;290;11;5;False
36;37;205;289;17;7;False
37;38;236;345;12;8;False
38;39;251;363;14;5;False
39;40;169;374;10;37;True
40;41;119;383;8;9;False
41;42;129;399;8;7;False
42;43;126;397;13;5;False
43;44;123;393;7;4;False
44;45;140;428;8;12;False
45;46;160;437;7;5;False
46;47;157;436;13;7;False
47;48;126;457;8;6;False
48;49;200;457;7;5;False
49;50;271;87;18;25;True
50;51;206;124;10;5;True
51;52;231;135;15;53;True
52;53;168;158;13;29;True
53;54;226;166;12;6;False
54;55;198;238;11;43;True
55;56;182;246;15;5;False
56;57;279;246;13;7;False
57;58;153;281;13;5;False
58;59;155;291;13;5;False
59;60;154;286;8;5;False
60;61;291;302;12;7;False
61;62;259;312;11;7;False
62;63;252;351;18;6;False
63;64;219;360;12;5;False
64;65;225;377;9;6;False
65;66;253;386;8;5;False
66;67;204;412;13;5;False
67;68;178;101;10;5;False
68;69;211;190;14;8;True
69;70;174;188;9;5;False
70;71;229;203;13;14;True
71;72;233;209;19;7;False
72;73;247;225;15;5;False
73;74;293;243;11;6;False
74;75;281;266;19;24;True
75;76;282;262;12;8;False
76;77;204;260;16;40;True
77;78;185;272;15;6;False
78;79;96;291;9;5;False
79;80;268;285;13;5;False
80;81;66;309;15;7;False
81;82;209;319;13;7;True
82;83;117;335;11;8;False
83;84;221;397;9;9;False
84;85;210;405;12;5;False
85;86;211;450;13;8;False
86;87;249;98;19;6;False
87;88;289;164;15;10;True
88;89;249;295;16;7;False
89;90;270;373;10;5;False
90;91;206;431;12;36;True
91;92;249;82;25;7;False
92;93;208;99;11;5;False
93;94;259;106;12;11;True
94;95;249;328;23;5;False
95;96;76;377;11;5;False
96;97;203;388;13;9;False
97;98;239;108;20;5;False
98;99;261;122;16;22;True
99;100;297;129;14;5;False
100;101;293;141;12;8;True
101;102;184;141;14;10;False
102;103;282;167;14;10;True
103;104;307;169;13;5;False
104;105;211;350;12;6;False
105;106;291;196;16;8;False
106;107;289;190;14;5;False
107;108;320;227;13;5;False
108;109;278;253;21;5;False
109;110;196;274;14;5;False
110;111;156;375;15;8;False
111;112;263;375;14;8;False
112;113;177;451;14;6;False
113;114;244;92;15;5;False
114;115;276;135;14;5;False
115;116;298;162;23;15;False
116;117;292;160;21;6;False
117;118;261;212;14;6;False
118;119;177;303;15;9;False
119;120;225;307;20;10;False
120;121;135;337;16;6;False
121;122;306;352;15;8;False
122;123;167;354;21;5;False
123;124;187;122;17;19;True
124;125;322;214;15;6;False
125;126;289;344;17;8;False
126;127;296;368;16;5;False
127;128;227;386;16;8;False
128;129;228;431;21;5;False
129;130;190;432;17;8;True
130;131;286;446;16;6;False
131;132;210;90;24;5;False
132;133;201;187;22;6;False
133;134;285;207;20;8;False
134;135;247;310;20;5;False
135;136;176;352;17;5;False
136;137;291;397;31;5;False
137;138;282;394;21;11;False
138;139;217;407;21;5;False
139;140;254;417;20;20;False
140;141;290;441;21;6;False
141;142;262;435;21;7;False
142;143;201;447;19;5;False
143;144;303;219;24;11;True
144;145;307;225;34;8;False
145;146;220;224;24;13;True
146;147;197;413;22;13;False
147;148;240;95;23;5;False
148;149;261;99;18;6;False
149;150;263;101;25;5;False
150;151;257;125;19;5;False
151;152;294;251;21;8;False
152;153;286;365;21;7;False
153;154;207;375;20;5;False
154;155;234;417;21;6;False
155;156;224;110;25;5;False
156;157;235;156;24;5;False
157;158;268;322;22;5;True
158;159;214;418;21;5;False
159;160;222;450;20;5;False
160;161;254;200;28;10;False
161;162;243;253;21;5;False
162;163;320;274;27;8;False
163;164;229;322;26;5;False
164;165;224;317;21;5;False
165;166;303;202;21;9;False
166;167;307;207;29;5;False
167;168;321;244;21;7;False
168;169;196;253;25;6;False
169;170;292;349;21;5;False
170;171;293;412;22;13;False
171;172;101;554;22;6;False
172;173;221;191;23;5;False
173;174;258;208;27;6;False
174;175;306;212;23;5;False
175;176;220;262;29;6;False
176;177;267;219;39;5;False
177;178;328;253;27;5;False
178;179;265;305;26;5;True
179;180;303;132;26;5;False
180;181;215;223;28;5;False
181;182;256;227;27;6;False
182;183;322;204;27;5;False
183;184;228;282;29;10;False
184;185;213;310;28;5;False
185;186;245;440;28;5;False
186;187;221;81;35;5;False
187;188;211;187;31;6;False
188;189;266;291;35;5;False
189;190;207;109;32;9;True
190;191;308;201;31;6;False
191;192;310;292;35;5;False
192;193;272;302;37;5;True
193;194;274;305;34;3;True
194;195;62;359;36;5;False
195;196;233;273;36;5;False
196;197;284;297;37;12;False
197;198;280;156;38;8;False
198;199;244;298;40;5;False
199;200;257;379;39;7;False
200;201;243;395;43;9;True
201;202;304;376;45;5;False
202;203;331;233;49;5;False
203;204;266;280;48;7;False
204;205;267;268;48;7;False
