;index;z;y;x;n_rna;coloc
0;1;165;183;10;6;True
1;2;313;205;16;13;True
2;3;170;194;18;7;True
3;4;254;230;14;5;False
4;5;202;178;19;8;True
5;6;237;133;19;5;True
6;7;222;193;21;20;True
7;8;158;267;21;14;True
8;9;253;224;22;5;False
9;10;166;184;28;10;True
10;11;177;288;31;33;True
11;12;136;168;32;25;True
12;13;163;299;44;12;True
13;14;160;313;35;5;True
14;15;161;311;38;8;True
15;16;160;330;33;8;True
16;17;116;190;36;6;True
17;18;112;272;44;6;True
18;19;110;275;41;6;True
19;20;125;309;40;15;True
20;21;161;232;42;6;True
21;22;154;321;43;14;True
22;23;155;215;46;8;True
